,address,rent,scrape_date,houseno,sttype,stname,zipcode,address_id
177,"2030 Ryker Davis Ln, Charlotte, NC 28269",2703,2023-02-25,2030,LN,RYKER DAVIS,28269,2030_RYKER DAVIS_LN_28269
483,"2022 Ryker Davis Ln, Charlotte, NC 28269",2703,2023-02-25,2022,LN,RYKER DAVIS,28269,2022_RYKER DAVIS_LN_28269
815,"10317 Worsley Ln, Charlotte, NC 28269",2700,2023-02-25,10317,LN,WORSLEY,28269,10317_WORSLEY_LN_28269
321,"14546 Limestone Ln, Pineville, NC 28134",2700,2023-02-25,14546,LN,LIMESTONE,28134,14546_LIMESTONE_LN_28134
476,"7021 Royce Ct, Charlotte, NC 28277",2700,2023-02-24,7021,CT,ROYCE,28277,7021_ROYCE_CT_28277
737,"628 Ethridge Pl, Charlotte, NC 28216",2700,2023-02-25,628,PL,ETHRIDGE,28216,628_ETHRIDGE_PL_28216
334,"11538 Ardrey Crest Dr, Charlotte, NC 28277",2700,2023-02-24,11538,DR,ARDREY CREST,28277,11538_ARDREY CREST_DR_28277
10,"6126 Trailwater Rd, Charlotte, NC 28278",2700,2023-02-25,6126,RD,TRAILWATER,28278,6126_TRAILWATER_RD_28278
332,"207 Waverly Hall Dr, Charlotte, NC 28211",2700,2023-02-24,207,DR,WAVERLY HALL,28211,207_WAVERLY HALL_DR_28211
524,"345 Hollis Rd, Charlotte, NC 28209",2700,2023-02-25,345,RD,HOLLIS,28209,345_HOLLIS_RD_28209
358,"1322 Carolyn Dr, Charlotte, NC 28205",2700,2023-02-24,1322,DR,CAROLYN,28205,1322_CAROLYN_DR_28205
576,"15726 Taviston St, Huntersville, NC 28078",2695,2023-02-24,15726,ST,TAVISTON,28078,15726_TAVISTON_ST_28078
17,"11440 Westbranch Pkwy, Davidson, NC 28036",2695,2023-02-25,11440,PKWY,WESTBRANCH,28036,11440_WESTBRANCH_PKWY_28036
448,"2924 Hanson Dr, Charlotte, NC 28207",2695,2023-02-24,2924,DR,HANSON,28207,2924_HANSON_DR_28207
